Date,Open,High,Low,Close,Adj Close,Volume,,Periodic Daily Return,Random Value,Next Days Price,Difference,Percent Difference,,
2021-05-18,2302.350098,2307.679932,2262.189941,2262.469971,2262.469971,1110200,,-0.011622933,0.026090013,2325.99364,-74.57476184,3.242723054,,
2021-05-19,2228.429932,2274.98999,2225.439941,2271.5,2271.5,1184200,,0.003983282,-0.009901341,2252.721966,-54.49363978,2.370580323,,
2021-05-20,2291,2312,2283.52002,2306.949951,2306.949951,1617600,,0.015485878,-0.002264279,2305.418423,54.22798484,2.378591523,,
2021-05-21,2317.409912,2318.889893,2289.300049,2294.129883,2294.129883,2031600,,-0.005572649,-0.008348143,2278.7013,-11.28853961,0.490854269,,
2021-05-24,2314.889893,2365.550049,2311.959961,2361.040039,2361.040039,1591600,,0.028748581,0.016580885,2404.358866,82.33873936,3.549281451,,
2021-05-25,2372,2384,2355,2362.870117,2362.870117,1122000,,0.000774815,-0.003710821,2357.888212,-41.48874925,1.740581348,,
2021-05-26,2366.52002,2388.98999,2366.459961,2380.310059,2380.310059,1078600,,0.007353725,-0.01051074,2359.194387,22.42184671,0.94642923,,
2021-05-27,2389.050049,2389.050049,2356.26001,2362.679932,2362.679932,1761200,,-0.007434217,0.000137293,2366.788599,3.48554511,0.147633964,,
2021-05-28,2374.419922,2376.070068,2352.850098,2356.850098,2356.850098,1074100,,-0.002470516,-0.021168584,2311.178626,-9.938500994,0.420798526,,
2021-06-01,2374.439941,2385.709961,2354.280029,2381.179932,2381.179932,1167700,,0.010270111,0.018531953,2429.603975,70.00130636,2.983629895,,
2021-06-02,2389.149902,2393.639893,2352.360107,2370.590088,2370.590088,1057900,,-0.004457228,0.005328673,2387.072601,-59.01388679,2.458812541,,
2021-06-03,2345.72998,2357.02002,2329.52002,2347.580078,2347.580078,934800,,-0.009753863,-0.014527545,2317.427377,-39.49252277,1.66823315,,
2021-06-04,2369.27002,2399.030029,2362.409912,2393.570068,2393.570068,1222900,,0.01940096,0.009028382,2419.14596,76.14269057,3.232550705,,
2021-06-07,2389.439941,2404.51001,2381,2402.300049,2402.300049,1206000,,0.003640628,-0.008411454,2385.992931,-16.84591136,0.698790833,,
2021-06-08,2412.01001,2419.52002,2394.780029,2398.439941,2398.439941,1212000,,-0.001608131,0.050896809,2527.714395,12.44700972,0.520312858,,
2021-06-09,2411.429932,2412.879883,2396.899902,2407.939941,2407.939941,897100,,0.003953084,-0.008496413,2391.391359,-119.7744536,4.853437679,,
2021-06-10,2406.919922,2436,2403.780029,2435.129883,2435.129883,1295200,,0.011228509,0.056161382,2579.928434,43.73852398,1.812424385,,
2021-06-11,2440,2441.719971,2418.959961,2430.199951,2430.199951,1097900,,-0.002026557,0.023911301,2492.995555,-149.7284828,5.977031777,,
2021-06-14,2432.26001,2448.919922,2418,2448.909912,2448.909912,1104900,,0.007669453,0.01500413,2489.911841,-44.08564335,1.784155672,,
2021-06-15,2449,2455.51001,2421.120117,2428.389893,2428.389893,1078100,,-0.008414549,0.020262232,2482.064956,-61.5219484,2.501755757,,
2021-06-16,2431.439941,2437.719971,2389.399902,2415.449951,2415.449951,1323600,,-0.005342857,0.026578021,2484.481009,-66.61500456,2.720359441,,
